DATA;corrente_neutro;corrente_f1;corrente_f2;corrente_f3;tensao_f1;tensao_f2;tensao_f3
23/03/2022 11:00;;;;;;;
23/03/2022 10:59;;;;;;;
23/03/2022 10:59;9.53;4.16;3.35;2.02;254.2;254.0;254.1
23/03/2022 10:59;9.56;4.17;3.35;2.03;254.1;253.9;254.0
23/03/2022 10:59;;;;;;;
23/03/2022 10:58;;;;;;;
23/03/2022 10:58;9.45;4.12;3.31;2.02;254.1;253.9;254.0
23/03/2022 10:58;;;;;;;
23/03/2022 10:57;9.48;4.13;3.28;2.06;253.8;253.5;253.8
23/03/2022 10:57;;;;;;;
23/03/2022 10:57;;;;;;;
23/03/2022 10:56;9.38;4.08;3.27;2.02;253.1;252.9;253.2
23/03/2022 10:56;;;;;;;
23/03/2022 10:56;;;;;;;
23/03/2022 10:55;9.46;4.13;3.3;2.04;253.5;253.3;253.6
23/03/2022 10:55;;;;;;;
23/03/2022 10:54;;;;;;;
23/03/2022 10:54;9.48;4.12;3.35;2.01;252.8;252.7;252.7
23/03/2022 10:54;9.5;4.14;3.32;2.04;252.9;252.6;252.9
23/03/2022 10:54;;;;;;;
23/03/2022 10:53;;;;;;;
23/03/2022 10:53;9.36;4.08;3.34;1.95;253.5;253.4;253.6
23/03/2022 10:53;;;;;;;
23/03/2022 10:52;;;;;;;
23/03/2022 10:52;9.34;4.08;3.31;1.95;253.4;253.3;253.2
23/03/2022 10:52;;;;;;;
23/03/2022 10:51;;;;;;;
23/03/2022 10:51;9.35;4.08;3.3;1.98;253.1;252.8;253.0
23/03/2022 10:51;;;;;;;
23/03/2022 10:50;;;;;;;
23/03/2022 10:50;9.34;4.08;3.29;1.97;252.5;252.3;252.3
23/03/2022 10:50;;;;;;;
23/03/2022 10:49;9.35;4.09;3.32;1.94;252.8;252.6;252.5
23/03/2022 10:49;;;;;;;
23/03/2022 10:48;;;;;;;
23/03/2022 10:48;9.36;4.08;3.34;1.94;252.7;252.6;252.4
23/03/2022 10:48;;;;;;;
23/03/2022 10:47;;;;;;;
23/03/2022 10:47;9.23;4.04;3.28;1.98;252.4;252.0;252.3
23/03/2022 10:47;;;;;;;
23/03/2022 10:46;;;;;;;
23/03/2022 10:46;9.51;4.12;3.35;2.04;252.8;252.7;252.7
23/03/2022 10:46;;;;;;;
23/03/2022 10:45;;;;;;;
23/03/2022 10:45;9.48;4.12;3.35;2.01;252.9;252.7;252.8
23/03/2022 10:45;;;;;;;
23/03/2022 10:44;9.41;4.09;3.31;2.01;252.3;252.2;252.1
23/03/2022 10:44;;;;;;;
23/03/2022 10:44;;;;;;;
23/03/2022 10:43;;;;;;;
23/03/2022 10:42;;;;;;;
23/03/2022 10:42;9.41;4.09;3.31;2.0;252.4;252.2;252.1
23/03/2022 10:42;9.47;4.14;3.31;2.02;253.1;252.9;252.8
23/03/2022 10:42;;;;;;;
23/03/2022 10:41;9.45;4.1;3.35;2.0;253.1;253.1;253.0
23/03/2022 10:41;;;;;;;
23/03/2022 10:41;;;;;;;
23/03/2022 10:40;9.41;4.11;3.33;1.97;253.7;253.6;253.8
23/03/2022 10:40;;;;;;;
23/03/2022 10:40;;;;;;;
23/03/2022 10:39;9.38;4.09;3.29;1.99;253.0;252.9;253.1
23/03/2022 10:39;;;;;;;
23/03/2022 10:39;;;;;;;
23/03/2022 10:38;9.35;4.08;3.29;1.98;253.4;253.3;253.5
23/03/2022 10:38;;;;;;;
23/03/2022 10:38;;;;;;;
23/03/2022 10:37;9.34;4.09;3.29;1.96;253.4;253.1;253.3
23/03/2022 10:37;;;;;;;
23/03/2022 10:36;;;;;;;
23/03/2022 10:36;9.37;4.09;3.28;2.0;253.1;252.8;253.0
23/03/2022 10:36;;;;;;;
23/03/2022 10:35;;;;;;;
23/03/2022 10:35;9.32;4.07;3.31;1.94;253.5;253.4;253.4
23/03/2022 10:35;;;;;;;
23/03/2022 10:34;;;;;;;
23/03/2022 10:34;9.4;4.11;3.34;1.95;253.5;253.2;253.4
23/03/2022 10:34;;;;;;;
23/03/2022 10:33;9.42;4.11;3.32;1.99;254.0;253.8;254.1
23/03/2022 10:33;;;;;;;
23/03/2022 10:32;9.43;4.12;3.32;1.99;253.5;253.2;253.3
23/03/2022 10:32;;;;;;;
23/03/2022 10:32;;;;;;;
23/03/2022 10:31;9.39;4.1;3.32;1.98;254.0;253.8;253.9
23/03/2022 10:31;;;;;;;
23/03/2022 10:31;;;;;;;
23/03/2022 10:30;9.46;4.12;3.32;2.01;254.1;253.8;253.8
23/03/2022 10:30;;;;;;;
23/03/2022 10:29;;;;;;;
23/03/2022 10:29;9.49;4.13;3.32;2.03;253.1;253.0;252.9
23/03/2022 10:29;;;;;;;
23/03/2022 10:28;9.43;4.09;3.32;2.03;253.0;253.0;253.1
23/03/2022 10:28;;;;;;;
23/03/2022 10:28;;;;;;;
23/03/2022 10:27;9.52;4.15;3.36;2.01;253.8;253.7;253.6
23/03/2022 10:27;;;;;;;
23/03/2022 10:27;;;;;;;
23/03/2022 10:26;9.51;4.14;3.35;2.02;253.7;253.4;253.4
23/03/2022 10:26;;;;;;;
23/03/2022 10:26;;;;;;;
23/03/2022 10:25;9.53;4.13;3.35;2.04;253.2;253.0;253.0
23/03/2022 10:25;;;;;;;
23/03/2022 10:25;;;;;;;
23/03/2022 10:24;;;;;;;
23/03/2022 10:23;;;;;;;
23/03/2022 10:23;9.37;4.01;3.27;2.09;253.1;252.6;252.6
23/03/2022 10:23;9.5;4.13;3.31;2.05;253.2;253.0;253.4
23/03/2022 10:23;;;;;;;
23/03/2022 10:22;;;;;;;
23/03/2022 10:22;9.53;4.15;3.31;2.06;252.9;252.6;252.9
23/03/2022 10:22;;;;;;;
23/03/2022 10:21;;;;;;;
23/03/2022 10:21;9.42;4.11;3.29;2.03;252.2;252.1;252.2
23/03/2022 10:21;;;;;;;
23/03/2022 10:20;;;;;;;
23/03/2022 10:20;9.47;4.14;3.3;2.03;253.5;253.3;253.4
23/03/2022 10:20;;;;;;;
23/03/2022 10:19;9.35;4.09;3.28;1.98;254.2;252.4;254.1
23/03/2022 10:19;9.37;4.11;3.27;1.99;253.6;253.3;253.5
23/03/2022 10:19;;;;;;;
23/03/2022 10:18;;;;;;;
23/03/2022 10:18;9.36;4.09;3.24;2.02;253.4;253.2;253.5
23/03/2022 10:18;;;;;;;
23/03/2022 10:17;;;;;;;
23/03/2022 10:17;9.32;4.07;3.27;1.98;253.8;253.6;253.9
23/03/2022 10:17;;;;;;;
23/03/2022 10:16;;;;;;;
23/03/2022 10:16;9.47;4.13;3.34;1.99;253.8;253.6;253.8
23/03/2022 10:16;;;;;;;
23/03/2022 10:15;;;;;;;
23/03/2022 10:15;;;;;;;
23/03/2022 10:14;9.36;4.07;3.31;1.98;253.3;253.0;252.9
23/03/2022 10:14;;;;;;;
23/03/2022 10:14;;;;;;;
23/03/2022 10:13;9.37;4.11;3.32;1.94;253.8;253.6;253.6
23/03/2022 10:13;;;;;;;
23/03/2022 10:13;;;;;;;
23/03/2022 10:12;9.39;4.11;3.35;1.93;254.2;254.1;254.0
23/03/2022 10:12;;;;;;;
23/03/2022 10:11;;;;;;;
23/03/2022 10:11;9.41;4.11;3.36;1.95;253.8;253.2;253.5
23/03/2022 10:11;;;;;;;
23/03/2022 10:10;9.31;4.08;3.28;1.94;253.3;252.9;253.2
23/03/2022 10:10;;;;;;;
23/03/2022 10:10;;;;;;;
23/03/2022 10:09;9.24;4.04;3.24;1.96;253.1;252.9;253.1
23/03/2022 10:09;;;;;;;
23/03/2022 10:09;;;;;;;
23/03/2022 10:08;9.34;4.09;3.29;1.96;254.2;254.0;254.0
23/03/2022 10:08;9.34;4.09;3.29;1.95;253.4;253.3;253.2
23/03/2022 10:08;;;;;;;
23/03/2022 10:08;;;;;;;
23/03/2022 10:07;9.37;4.1;3.31;1.96;253.0;252.8;252.7
23/03/2022 10:07;9.22;4.04;3.26;1.93;252.4;252.2;252.2
23/03/2022 10:07;;;;;;;
23/03/2022 10:07;;;;;;;
23/03/2022 10:06;9.44;4.12;3.33;1.99;252.2;252.0;252.2
23/03/2022 10:06;;;;;;;
23/03/2022 10:06;;;;;;;
23/03/2022 10:05;9.31;4.06;3.31;1.94;252.7;252.5;252.8
23/03/2022 10:05;;;;;;;
23/03/2022 10:04;;;;;;;
23/03/2022 10:04;9.38;4.03;3.34;2.0;252.7;252.3;252.2
23/03/2022 10:04;;;;;;;
23/03/2022 10:03;9.45;4.09;3.34;2.02;252.7;252.6;252.4
23/03/2022 10:03;;;;;;;
23/03/2022 10:02;9.52;4.12;3.32;2.08;252.9;252.6;252.8
23/03/2022 10:02;;;;;;;
23/03/2022 10:02;;;;;;;
23/03/2022 10:01;9.7;4.17;3.4;2.12;252.6;252.1;252.3
23/03/2022 10:01;;;;;;;
23/03/2022 10:01;;;;;;;
23/03/2022 10:00;9.42;4.11;3.31;1.99;253.4;253.2;253.4
23/03/2022 10:00;;;;;;;
23/03/2022 10:00;;;;;;;
23/03/2022 09:59;9.38;4.1;3.26;2.02;253.4;253.1;253.6
23/03/2022 09:59;;;;;;;
23/03/2022 09:58;;;;;;;
23/03/2022 09:58;9.45;4.09;3.36;2.0;254.2;254.0;254.2
23/03/2022 09:58;;;;;;;
23/03/2022 09:57;;;;;;;
23/03/2022 09:57;9.32;4.05;3.32;1.94;253.9;253.8;254.0
23/03/2022 09:57;;;;;;;
23/03/2022 09:56;;;;;;;
23/03/2022 09:56;9.46;4.12;3.32;2.01;253.1;252.7;252.9
23/03/2022 09:56;;;;;;;
23/03/2022 09:55;;;;;;;
23/03/2022 09:55;9.38;4.09;3.32;1.97;253.1;252.8;252.9
23/03/2022 09:55;;;;;;;
23/03/2022 09:54;9.45;4.04;3.35;2.06;252.5;252.1;252.1
23/03/2022 09:54;;;;;;;
23/03/2022 09:53;;;;;;;
23/03/2022 09:53;9.37;4.08;3.33;1.97;253.6;253.4;253.7
23/03/2022 09:53;9.13;4.01;3.24;1.88;253.2;253.0;253.4
23/03/2022 09:53;;;;;;;
23/03/2022 09:52;;;;;;;
23/03/2022 09:52;9.42;4.09;3.36;1.96;253.2;253.0;253.1
23/03/2022 09:52;;;;;;;
23/03/2022 09:51;;;;;;;
23/03/2022 09:51;9.43;4.11;3.36;1.95;253.1;252.9;253.0
23/03/2022 09:51;;;;;;;
23/03/2022 09:50;;;;;;;
23/03/2022 09:50;9.47;4.11;3.37;1.99;253.1;252.9;252.9
23/03/2022 09:50;;;;;;;
23/03/2022 09:49;;;;;;;
23/03/2022 09:49;9.43;4.11;3.36;1.96;253.4;253.2;253.2
23/03/2022 09:49;;;;;;;
23/03/2022 09:48;9.61;4.15;3.37;2.08;253.2;252.8;253.2
23/03/2022 09:48;;;;;;;
23/03/2022 09:48;;;;;;;
23/03/2022 09:47;9.52;4.11;3.33;2.08;252.4;252.0;252.1
23/03/2022 09:47;;;;;;;
23/03/2022 09:46;;;;;;;
23/03/2022 09:46;;;;;;;
23/03/2022 09:45;9.23;4.03;3.28;1.92;253.3;253.2;253.2
23/03/2022 09:45;;;;;;;
23/03/2022 09:45;;;;;;;
23/03/2022 09:44;9.32;4.07;3.3;1.95;253.6;253.4;253.4
23/03/2022 09:44;;;;;;;
23/03/2022 09:44;;;;;;;
23/03/2022 09:43;9.34;4.09;3.26;1.99;252.8;252.6;252.7
23/03/2022 09:43;;;;;;;
23/03/2022 09:43;;;;;;;
23/03/2022 09:42;9.35;4.07;3.26;2.01;252.6;252.4;252.7
23/03/2022 09:42;9.32;4.08;3.28;1.96;253.7;253.5;253.8
23/03/2022 09:42;;;;;;;
23/03/2022 09:42;;;;;;;
23/03/2022 09:41;9.42;4.09;3.31;2.02;253.5;253.2;253.6
23/03/2022 09:41;;;;;;;
23/03/2022 09:41;;;;;;;
23/03/2022 09:40;9.59;4.17;3.32;2.09;253.5;253.0;253.3
23/03/2022 09:40;;;;;;;
23/03/2022 09:39;;;;;;;
23/03/2022 09:39;9.52;4.14;3.31;2.07;253.7;253.4;253.6
23/03/2022 09:39;;;;;;;
23/03/2022 09:38;9.44;4.1;3.31;2.02;253.6;253.4;253.4
23/03/2022 09:38;;;;;;;
23/03/2022 09:38;;;;;;;
23/03/2022 09:37;9.47;4.11;3.36;1.99;254.1;253.8;253.8
23/03/2022 09:37;;;;;;;
23/03/2022 09:37;;;;;;;
23/03/2022 09:36;9.53;4.14;3.37;2.01;254.2;253.9;254.0
23/03/2022 09:36;;;;;;;
23/03/2022 09:36;;;;;;;
23/03/2022 09:35;9.49;4.07;3.39;2.03;252.9;252.5;252.1
23/03/2022 09:35;;;;;;;
23/03/2022 09:35;;;;;;;
23/03/2022 09:34;9.62;4.17;3.38;2.06;253.2;252.8;253.0
23/03/2022 09:34;9.45;4.1;3.35;2.0;253.5;253.2;253.4
23/03/2022 09:34;;;;;;;
23/03/2022 09:33;9.54;4.13;3.39;2.01;253.8;253.4;253.6
23/03/2022 09:33;;;;;;;
23/03/2022 09:32;;;;;;;
23/03/2022 09:32;9.37;4.04;3.32;2.01;252.9;252.2;252.3
23/03/2022 09:32;;;;;;;
23/03/2022 09:31;9.55;4.15;3.37;2.04;253.8;253.5;253.5
23/03/2022 09:31;;;;;;;
23/03/2022 09:31;;;;;;;
23/03/2022 09:30;9.34;4.07;3.32;1.95;254.3;254.3;254.2
23/03/2022 09:30;;;;;;;
23/03/2022 09:30;;;;;;;
23/03/2022 09:29;9.3;4.05;3.31;1.94;253.9;253.8;254.1
23/03/2022 09:29;;;;;;;
23/03/2022 09:29;;;;;;;
23/03/2022 09:28;9.47;4.11;3.36;1.99;253.6;253.0;253.3
23/03/2022 09:28;;;;;;;
23/03/2022 09:27;;;;;;;
23/03/2022 09:27;9.47;4.12;3.36;1.99;253.7;253.2;253.4
23/03/2022 09:27;;;;;;;
23/03/2022 09:26;;;;;;;
23/03/2022 09:26;9.41;4.07;3.33;2.01;253.0;252.4;252.8
23/03/2022 09:26;;;;;;;
23/03/2022 09:25;;;;;;;
23/03/2022 09:25;9.4;4.08;3.33;1.99;253.7;253.6;253.7
23/03/2022 09:25;;;;;;;
23/03/2022 09:24;;;;;;;
23/03/2022 09:24;9.5;4.13;3.35;2.02;253.7;253.6;253.6
23/03/2022 09:24;;;;;;;
23/03/2022 09:23;9.48;4.14;3.35;1.98;253.7;253.6;253.5
23/03/2022 09:23;;;;;;;
23/03/2022 09:23;;;;;;;
23/03/2022 09:22;9.41;4.12;3.33;1.95;254.5;254.4;254.4
23/03/2022 09:22;;;;;;;
23/03/2022 09:21;;;;;;;
23/03/2022 09:21;9.29;4.09;3.28;1.92;255.1;255.2;255.2
23/03/2022 09:21;;;;;;;
23/03/2022 09:20;;;;;;;
23/03/2022 09:20;9.26;4.08;3.25;1.91;254.5;254.5;254.4
23/03/2022 09:20;;;;;;;
23/03/2022 09:19;;;;;;;
23/03/2022 09:19;9.3;4.09;3.31;1.91;255.0;254.9;254.8
23/03/2022 09:19;;;;;;;
23/03/2022 09:18;;;;;;;
23/03/2022 09:18;9.38;4.12;3.33;1.94;254.6;254.6;254.4
23/03/2022 09:18;9.22;4.05;3.25;1.91;254.0;254.0;253.8
23/03/2022 09:18;;;;;;;
23/03/2022 09:17;;;;;;;
23/03/2022 09:17;9.31;4.09;3.3;1.92;253.9;253.8;253.6
23/03/2022 09:17;;;;;;;
23/03/2022 09:16;;;;;;;
23/03/2022 09:16;9.24;4.06;3.29;1.89;253.8;253.8;253.7
23/03/2022 09:16;;;;;;;
23/03/2022 09:15;;;;;;;
