Data;energia_ativa_f1;energia_ativa_f2;energia_ativa_f3;energia_ativa_total;energia_aparente_f1;energia_aparente_f2;energia_aparente_f3;energia_aparente_total;energia_reativa_f2;energia_reativa_f1;energia_reativa_f3;energia_reativa_total;fator_potencia_f1;fator_potencia_f2;fator_potencia_f3;Fator_Potencia_Total;potencia_aparente_f1;potencia_aparente_f2;potencia_aparente_f3;potencia_aparente_total;potencia_ativa_f1;potencia_ativa_f2;potencia_ativa_f3;potencia_ativa_total;potencia_reativa_f1;potencia_reativa_f2;potencia_reativa_f3;potencia_reativa_total;temperatura;tensao_f1_f2;tensao_f2_f3;tensao_f3_f1;angulo_tensao_f1;angulo_tensao_f2;angulo_tensao_f3
23/03/2022 10:59;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,38;0,52;1058;852;512;2422;889;168;197;1254;328;711;-86;953;24;440,29;439,94;440,11;0.0;119.7;-120.1
23/03/2022 10:59;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,39;0,52;1060;851;516;2427;889;166;200;1255;330;709;-89;950;24;440,11;439,77;439,94;0.0;119.7;-120.1
23/03/2022 10:58;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,39;0,52;1047;841;512;2400;876;164;201;1241;331;700;-83;948;24;440,11;439,77;439,94;0.0;119.7;-120.0
23/03/2022 10:57;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,18;0,4;0,51;1049;833;522;2404;867;149;209;1225;345;691;-86;950;24;439,59;439,07;439,59;0.0;119.7;-120.0
23/03/2022 10:56;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,4;0,51;1033;827;512;2372;857;155;203;1215;335;685;-80;940;24;438,38;438,04;438,56;0.0;119.8;-119.9
23/03/2022 10:55;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,4;0,52;1047;835;516;2398;873;163;205;1241;331;693;-85;939;24;439,07;438,73;439,25;0.0;119.8;-119.9
23/03/2022 10:54;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,21;0,38;0,52;1042;847;507;2396;877;180;191;1248;312;703;-78;937;24;437,86;437,69;437,69;0.0;119.7;-120.1
23/03/2022 10:54;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,39;0,51;1046;838;516;2400;872;162;200;1234;330;696;-86;940;24;438,04;437,52;438,04;0.0;119.8;-120.1
23/03/2022 10:53;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,85;0,21;0,38;0,52;1034;846;493;2373;874;180;187;1241;315;707;-74;948;24;439,07;438,9;439,25;0.0;119.8;-119.9
23/03/2022 10:52;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,38;0,52;1034;839;493;2366;873;167;187;1227;319;703;-82;940;24;438,9;438,73;438,56;0.0;119.8;-119.9
23/03/2022 10:51;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,39;0,52;1032;833;501;2366;865;161;194;1220;326;694;-81;939;24;438,38;437,86;438,21;0.0;119.8;-120.1
23/03/2022 10:50;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,39;0,52;1031;830;497;2358;867;164;194;1225;322;693;-83;932;24;437,34;437;437;0.0;119.8;-120.1
23/03/2022 10:49;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,85;0,21;0,38;0,53;1033;839;490;2362;877;179;187;1243;309;702;-81;930;24;437,86;437,52;437,34;0.0;119.8;-120.1
23/03/2022 10:48;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,85;0,22;0,37;0,53;1030;844;489;2367;876;188;184;1248;302;704;-76;930;24;437,69;437,52;437,17;0.0;119.8;-119.9
23/03/2022 10:47;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,21;0,38;0,52;1032;840;484;2370;871;180;191;1237;312;698;-77;929;24;437,17;436,48;437;0.0;119.8;-120.1
23/03/2022 10:46;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,22;0,38;0,52;1042;847;516;2405;872;183;197;1252;314;697;-74;937;24;437,86;437,69;437,69;0.0;119.7;-120.1
23/03/2022 10:45;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,21;0,37;0,52;1041;846;509;2396;873;175;190;1238;316;702;-78;940;24;438,04;437,69;437,86;0.0;119.8;-119.9
23/03/2022 10:44;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,2;0,38;0,51;1033;835;507;2375;863;164;191;1218;320;692;-81;931;24;437;436,82;436,65;0.0;119.8;-119.9
23/03/2022 10:42;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,38;0,51;1033;835;505;2373;864;161;191;1216;322;694;-83;933;24;437,17;436,82;436,65;0.0;119.7;-120.0
23/03/2022 10:42;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,39;0,51;1047;838;511;2396;874;155;197;1226;332;698;-89;941;24;438,38;438,04;437,86;0.0;119.7;-120.1
23/03/2022 10:41;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,22;0,38;0,52;1037;848;506;2391;872;182;190;1244;313;702;-73;942;24;438,38;438,38;438,21;0.0;119.8;-120.1
23/03/2022 10:40;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,21;0,39;0,52;1044;844;500;2388;881;176;195;1252;319;705;-81;943;24;439,42;439,25;439,59;0.0;119.8;-120.0
23/03/2022 10:39;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,4;0,52;1036;833;504;2373;869;169;201;1239;325;693;-80;938;24;438,21;438,04;438,38;0.0;119.8;-119.9
23/03/2022 10:38;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,39;0,52;1034;832;502;2368;866;160;197;1223;329;694;-82;941;24;438,9;438,73;439,07;0.0;119.8;-119.9
23/03/2022 10:37;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,18;0,39;0,51;1036;831;497;2364;869;153;193;1215;331;697;-88;940;24;438,9;438,38;438,73;0.0;119.8;-120.1
23/03/2022 10:36;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,4;0,52;1035;830;505;2370;866;162;199;1227;326;690;-84;932;24;438,38;437,86;438,21;0.0;119.7;-120.1
23/03/2022 10:35;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,85;0,21;0,39;0,53;1033;838;491;2362;875;178;192;1245;315;701;-78;938;24;439,07;438,9;438,9;0.0;119.7;-120.1
23/03/2022 10:34;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,85;0,2;0,38;0,52;1045;846;495;2386;884;171;186;1247;316;710;-87;939;24;439,07;438,56;438,9;0.0;119.8;-119.9
23/03/2022 10:33;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,38;0,52;1044;842;505;2391;876;162;194;1232;328;703;-85;946;23;439,94;439,59;440,11;0.0;119.8;-119.9
23/03/2022 10:32;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,38;0,52;1043;842;503;2388;879;171;193;1243;319;702;-84;937;24;439,07;438,56;438,73;0.0;119.7;-120.0
23/03/2022 10:31;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,38;0,52;1040;843;502;2385;875;171;193;1239;321;702;-80;943;24;439,94;439,59;439,77;0.0;119.8;-119.9
23/03/2022 10:30;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,18;0,38;0,51;1047;843;511;2401;872;151;193;1216;335;703;-88;950;24;440,11;439,59;439,59;0.0;119.8;-120.0
23/03/2022 10:29;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,18;0,38;0,51;1046;840;514;2400;870;152;193;1215;332;699;-89;942;24;438,38;438,21;438,04;0.0;119.7;-120.1
23/03/2022 10:28;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,21;0,38;0,52;1035;839;513;2387;864;173;196;1233;320;692;-75;937;23;438,21;438,21;438,38;0.0;119.8;-119.9
23/03/2022 10:27;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,37;0,52;1052;853;509;2414;886;174;190;1250;318;710;-85;943;23;439,59;439,42;439,25;0.0;119.8;-120.0
23/03/2022 10:26;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,38;0,51;1051;849;510;2410;882;167;192;1241;322;707;-86;943;23;439,42;438,9;438,9;0.0;119.7;-120.0
23/03/2022 10:25;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,21;0,38;0,52;1047;848;516;2411;876;176;195;1247;317;700;-79;938;23;438,56;438,21;438,21;0.0;119.7;-120.0
23/03/2022 10:23;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,21;0,39;0,51;1015;826;526;2367;839;174;206;1219;325;670;-61;934;23;438,38;437,52;437,52;0.0;119.8;-120.1
23/03/2022 10:23;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,2;0,39;0,52;1047;838;519;2404;872;167;204;1243;328;693;-82;939;23;438,56;438,21;438,9;0.0;119.7;-120.0
23/03/2022 10:22;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,39;0,51;1050;836;522;2408;874;159;203;1236;330;693;-89;934;23;438,04;437,52;438,04;0.0;119.7;-120.0
23/03/2022 10:21;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,4;0,52;1036;828;511;2375;867;169;205;1241;324;686;-81;929;23;436,82;436,65;436,82;0.0;119.7;-120.1
23/03/2022 10:20;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,4;0,52;1049;836;515;2400;875;159;203;1237;333;696;-87;942;23;439,07;438,73;438,9;0.0;119.7;-120.0
23/03/2022 10:19;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,4;0,52;1039;833;504;2376;869;159;201;1225;338;696;-82;934;23;440,29;437,17;440,11;0.0;119.8;-120.1
23/03/2022 10:19;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,41;0,52;1042;828;505;2375;874;159;206;1239;333;692;-88;937;23;439,25;438,73;439,07;0.0;119.7;-120.0
23/03/2022 10:18;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,18;0,41;0,51;1037;821;513;2371;859;146;211;1216;345;682;-86;941;23;438,9;438,56;439,07;0.0;119.7;-120.1
23/03/2022 10:17;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,4;0,52;1032;830;503;2365;862;159;199;1220;332;692;-79;945;23;439,59;439,25;439,77;0.0;119.8;-119.9
23/03/2022 10:16;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,38;0,52;1048;847;506;2401;882;169;193;1244;324;707;-84;947;23;439,59;439,25;439,59;0.0;119.8;-120.1
23/03/2022 10:14;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,21;0,39;0,52;1031;837;501;2369;868;177;195;1240;318;695;-75;938;23;438,73;438,21;438,04;0.0;119.8;-120.1
23/03/2022 10:13;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,39;0,52;1042;841;492;2375;880;165;192;1237;326;707;-84;949;23;439,59;439,25;439,25;0.0;119.8;-120.1
23/03/2022 10:12;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,85;0,2;0,38;0,52;1045;851;490;2386;888;174;185;1247;317;716;-83;950;23;440,29;440,11;439,94;0.0;119.7;-120.1
23/03/2022 10:11;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,85;0,2;0,37;0,52;1042;850;493;2385;884;171;183;1238;317;713;-84;946;23;439,59;438,56;439,07;0.0;119.8;-120.0
23/03/2022 10:10;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,4;0,52;1034;829;492;2355;871;157;196;1224;331;697;-86;942;23;438,73;438,04;438,56;0.0;119.8;-119.9
23/03/2022 10:09;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,4;0,51;1022;820;496;2345;854;155;198;1207;331;685;-80;936;23;438,38;438,04;438,38;0.0;119.8;-119.9
23/03/2022 10:08;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,18;0,38;0,51;1040;836;498;2374;871;149;192;1212;335;702;-88;949;23;440,29;439,94;439,94;0.0;119.8;-119.9
23/03/2022 10:08;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,18;0,39;0,51;1037;834;494;2365;871;152;192;1215;331;701;-88;944;23;438,9;438,73;438,56;0.0;119.8;-120.1
23/03/2022 10:07;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,39;0,52;1037;837;496;2370;873;164;192;1229;324;701;-84;941;23;438,21;437,86;437,69;0.0;119.8;-120.0
23/03/2022 10:07;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,39;0,52;1019;821;486;2326;857;156;191;1204;324;689;-83;930;23;437,17;436,82;436,82;0.0;119.7;-120.1
23/03/2022 10:06;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,21;0,39;0,52;1038;839;502;2379;874;174;194;1242;316;698;-81;933;23;436,82;436,48;436,82;0.0;119.7;-120.0
23/03/2022 10:05;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,21;0,39;0,52;1027;835;491;2353;867;174;190;1231;316;697;-76;937;23;437,69;437,34;437,86;0.0;119.7;-120.0
23/03/2022 10:04;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,21;0,38;0,52;1018;844;505;2367;848;180;193;1221;326;695;-51;970;23;437,69;437;436,82;0.0;119.8;-120.0
23/03/2022 10:03;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,38;0,51;1032;844;510;2386;854;159;194;1207;339;700;-64;975;23;437,69;437,52;437,17;0.0;119.7;-120.0
23/03/2022 10:02;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,81;0,17;0,4;0,5;1043;838;524;2405;850;144;210;1204;362;694;-65;991;23;438,04;437,52;437,86;0.0;119.7;-120.1
23/03/2022 10:01;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,81;0,18;0,4;0,5;1054;858;535;2447;856;155;212;1223;371;710;-47;1034;23;437,52;436,65;437;0.0;119.6;-120.1
23/03/2022 10:00;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,2;0,4;0,52;1042;839;504;2385;874;167;199;1240;327;700;-80;947;23;438,9;438,56;438,9;0.0;119.7;-120.1
23/03/2022 09:59;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,19;0,41;0,52;1038;826;512;2376;863;160;211;1234;337;685;-80;942;23;438,9;438,38;439,25;0.0;119.7;-120.1
23/03/2022 09:58;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,2;0,38;0,51;1040;853;507;2400;867;167;192;1226;334;711;-66;979;23;440,29;439,94;440,29;0.0;119.7;-119.9
23/03/2022 09:57;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,39;0,51;1029;844;492;2365;861;161;190;1212;338;709;-65;982;23;439,77;439,59;439,94;0.0;119.8;-119.9
23/03/2022 09:56;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,17;0,4;0,5;1044;840;508;2392;863;141;201;1205;359;706;-74;991;23;438,38;437,69;438,04;0.0;119.8;-120.0
23/03/2022 09:55;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,18;0,4;0,51;1037;840;497;2374;863;155;197;1215;346;706;-69;983;23;438,38;437,86;438,04;0.0;119.8;-119.9
23/03/2022 09:54;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,82;0,2;0,38;0,51;1019;845;519;2383;838;171;195;1204;339;694;-45;988;23;437,34;436,65;436,65;0.0;119.8;-119.9
23/03/2022 09:53;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,83;0,18;0,38;0,51;1035;843;498;2376;861;153;192;1206;344;707;-71;980;23;439,25;438,9;439,42;0.0;119.8;-119.9
23/03/2022 09:53;0,005;0,001;0,001;0,007;0,006;0,005;0,003;0,014;0,004;0,002;0;0,006;0,84;0,19;0,41;0,52;1015;819;477;2311;857;160;194;1211;328;691;-78;941;23;438,56;438,21;438,9;0.0;119.8;-119.9
